display_name,notebook_name,econotebook_blogpost_path,youtube_video_path,github_repository_path,arxiv_index,should_open_in_sagemaker_labs,readme_section
GLM,EC_GLM.ipynb,https://EcoCommonsAustralia.github.io/notebook-blog/notebooks/EC_GLM/EC_GLM.html,,,,FALSE,models
Marxan Connect,,https://EcoCommonsAustralia.github.io/notebook-blog/notebooks/sp/ecocommons-marxan-integration-poc.html,,https://github.com/EcoCommons-Australia-2024-2026/ecocommons-marxan-integration-poc.git,,FALSE,skills
Environmental Data Preparation (Raster),raster_preparation.ipynb,https://EcoCommonsAustralia.github.io/notebook-blog/notebooks/data_prep/raster_preparation.html,,,,FALSE,skills
Imbalanced dataset (Part 1),imbalanced_data_part1.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/data_prep/imbalanced_data.html#part-1-imbalanced-species-data-background-points-and-weighting-methods,,,,FALSE,skills
Imbalanced dataset (Part 2),imbalanced_data_part2.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/data_prep/imbalanced_data.html#part-2-imbalanced-species-data-background-points-and-weighting-methods,,,,FALSE,skills
Extent and Area of Occurrence / Occupancy,eoo_aoo.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/EOO_AOO/eoo_aoo.html,,,,FALSE,models
Random Forest,EC_RF.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/EC_RF/EC_RF.html,,,,FALSE,models
Richness and Diversity,richness_shannon_notebook.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/Rich_Div/richness_shannon_notebook.html,,,,FALSE,skills
Get Species Data from Multiple Sources,Get_Species_data_from_multiple_sources.ipynb,https://EcoCommonsAustralia.github.io/notebook-blog/notebooks/data_prep/Get_Species_data_from_multiple_sources.html,,,,FALSE,skills
Single-Species Single-Season Occupancy Model - Conceptual,EC_Occupancy_conceptual.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/Occupancy_conceptual/EC_Occupancy_conceptual.html,,,,FALSE,models
Single-Species Single-Season Occupancy Model - Practical,EC_Occupancy_practical.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/Occupancy_practical/EC_Occupancy_practical.html,,,,FALSE,models
Converting Rasters from ASCII (.asc) to GeoTIFF (.tif) Format,converting_ascii_to_geotiff_notebook.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/raster_format/converting_ascii_to_geotiff_notebook.html,,,,FALSE,skills
Converting Rasters from GeoTIFF (.tif) to ASCII (.asc) Format,converting_geotif_to_ascii_notebook.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/raster_format/converting_geotif_to_ascii_notebook.html,,,,FALSE,skills
Converting GeoTIFF (.tif) to Shapefile (.shp) Format,converting_geotiff_to_shapefile_notebook.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/raster_format/converting_geotiff_to_shapefile_notebook.html,,,,FALSE,skills
Converting Shapefile (.shp) to GeoTIFF (.tif) Format,converting_shapefile_to_geotiff_notebook.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/raster_format/converting_shapefile_to_geotiff_notebook.html,,,,FALSE,skills
Converting GeoTIFF (.tif) to NetCDF (.nc) Format,converting_NetCDF_to_geotiff_notebook.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/raster_format/converting_NetCDF_to_geotiff_notebook.html,,,,FALSE,skills
Converting  NetCDF (.nc) to GeoTIFF (.tif) Format,converting_geotiff_to_netcd_notebook.ipynb,https://ecocommonsaustralia.github.io/notebook-blog/notebooks/raster_format/converting_geotiff_to_netcd_notebook.html,,,,FALSE,skills
